Seller Platform,Seller SKU,Manufacture Name,Manufacture Code,Product Title,Description,Category,Subcategories,Packaging,Qty,Product Page URL,Image URL
DC Dental, 100-9542EC ," Pac-Dent, Inc. ", 100-9542EC ,iVac Irrigation System E-type Piezo Connector w/2-Rings 1/Pk,"The iVac™ System is designed to be used during the root canal treatment
irrigation phase, preferably connected to a piezo ultrasonic handpiece. The
system was created using the three most important concepts established by the
endodontic research and science for root canal irrigation and disinfection.  
  
Advantages:

  * The iVac™ uses apical negative pressure with concomitant irrigation, which avoids the risk of extrusion of the irrigant while allowing the irrigating fluid to clean and disinfect the entire root canal to the working length1, 2.
  * iVac™ is highly instrumental in cases where irrigation depth control is essential3, such as young teeth, apexification, regeneration, and apical foramen resorptions.
  * The iVac™ design allows the continuous exchange of ultrasonically activated irrigants with constant refreshment into the root canal system throughout the procedure.
  * It can effectively clean and disinfect irregularities of the root canal system with the action of continuous ultrasonic irrigation,4, 5, 6
  * The polymer microcannula allows effective ultrasonic activation7 of the irrigant, even in curved canals.

", Supplies ,Small Equipment,Pk,1,https://www.dcdental.com/iVac-LED-Piezo-Ultrasonic-9542EC,https://www.dcdental.com/images/562127743814.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 100-9542R ," Pac-Dent, Inc. ", 100-9542R ,iVac Irrigation System Rings 2/Pk,"The iVac™ System is designed to be used during the root canal treatment
irrigation phase, preferably connected to a piezo ultrasonic handpiece. The
system was created using the three most important concepts established by the
endodontic research and science for root canal irrigation and disinfection.  
  
Advantages:

  * The iVac™ uses apical negative pressure with concomitant irrigation, which avoids the risk of extrusion of the irrigant while allowing the irrigating fluid to clean and disinfect the entire root canal to the working length1, 2.
  * iVac™ is highly instrumental in cases where irrigation depth control is essential3, such as young teeth, apexification, regeneration, and apical foramen resorptions.
  * The iVac™ design allows the continuous exchange of ultrasonically activated irrigants with constant refreshment into the root canal system throughout the procedure.
  * It can effectively clean and disinfect irregularities of the root canal system with the action of continuous ultrasonic irrigation,4, 5, 6
  * The polymer microcannula allows effective ultrasonic activation7 of the irrigant, even in curved canals.

", Supplies ,Small Equipment,Pk,2,https://www.dcdental.com/iVac-LED-Piezo-Ultrasonic-9542R,https://www.dcdental.com/images/535651887002.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 677-437300 ," GC America, Inc. ", 677-437300 ,MI Paste ONE Perio 10/Pk,"MI Paste ONE Perio is a two-in-one application (toothpaste and treatment),
stannous fluoride, and RECALDENT. This product presents another way to treat
sensitivity, remineralize tooth enamel, prevent white spot lesions and treat
gingivitis. A simple, single step for treatment and cleaning. A replacement
for your current toothpaste, it gives you the same power of MI Paste Plus, but
in a single application and with the anti-gingivitis benefit of stannous
fluoride.

", Supplies ,Preventives,Pk,10,https://www.dcdental.com/MI-Paste-ONE-Perio-437300,https://www.dcdental.com/images/214457780532.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 326-F88180 , Acteon , 326-F88180 ,Canal Access Preparation Tip kit,"Scaling tips ideal for the current cases in daily practice. Tips are used in
sweeping motion to remove calculus without damaging the enamel.  
  
Delivered with: CAP1, CAP2 and CAP3 tips, metal holder and autoclavable
universal wrench.

", Supplies ,Preventives,,,https://www.dcdental.com/Acteon-Scaler-Tips-F88180,https://www.dcdental.com/images/420072277313.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 326-F00737 , Acteon , 326-F00737 ,ENDO Success Kit,"Scaling tips ideal for the current cases in daily practice. Tips are used in
sweeping motion to remove calculus without damaging the enamel.  
  
Delivered with: ET18D, ETBD, ET20, ET25S, ET25, and ETPR with 1 Universal
Wrench and Autoclavable Stand

", Supplies ,Preventives,,,https://www.dcdental.com/Acteon-Scaler-Tips-F00737,https://www.dcdental.com/images/131724076870.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 326-F00069 , Acteon , 326-F00069 ,Endo Success Apical Surgery Kit,"Scaling tips ideal for the current cases in daily practice. Tips are used in
sweeping motion to remove calculus without damaging the enamel.  
  
Delivered with AS3D, AS6D, AS9D, ASLD, ASRD tips, autoclavable metal support,
and an autoclavable universal wrench.

", Supplies ,Preventives,,,https://www.dcdental.com/Acteon-Scaler-Tips-F00069,https://www.dcdental.com/images/458507603475.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 616-CD3/67 , Hu-Friedy , 616-CD3/67 ,Discoid-Cleoid Carver 3/6 DE #7 Handle,"Used to carve anatomical features and trim excess materials.

", Supplies ,Instruments,,,https://www.dcdental.com/Cleoid-Discoid-CD3-67,https://www.dcdental.com/images/414216751678.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 666-80356910 , Procter & Gamble , 666-80356910 ,Oral-B Smart 1500 Electric Rechargeable Toothbrush 3/Case,"The Oral-B Smart 1500 Power Rechargeable Electric Toothbrush provides a
clinically proven superior clean vs. a regular manual toothbrush. The
professionally inspired design of the CrossAction toothbrush head surrounds
each tooth with bristles angled at 16 degrees and 100% better gum health vs. a
regular manual toothbrush. The brush’s 3D cleaning action oscillates, rotates,
and pulsates to break up plaque. The pressure sensor lights up if you brush
too hard to prevent harmful over-brushing. The brush has 1 mode, plus an in-
handle timer to help you brush for a dentist-recommended 2 minutes.

", Supplies ,Preventives,Case,3,https://www.dcdental.com/Oral-B-Smart-1500-Electric-Rechargeable-Toothbrush-3-Case,https://www.dcdental.com/images/475004055040.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 666-80358682 , Procter & Gamble , 666-80358682 ,Oral-B Water Flosser Advanced 3/Case,"Oral-B Water Flosser Advanced deep cleans and detoxifies below the gumline.
Its unique Oxyjet Technology uses water enriched with microbubbles of air to
help eliminate plaque bacteria for healthier gums. The customizable
intensities help remove plaque and leftover food particles in your mouth.
Personalized streams allow for customized cleaning as well: Multi-Jet for all-
around clean, Focused for targeted cleaning, Rotational for gum massage. The
On-Demand mode provides greater control over the water stream allowing you to
release water only when you need it for an easier, less messy experience. The
cordless, single-body premium handheld unit improves portability, while the
rear-configuration water reservoir allows for easy access and refilling.

  * Oxyjet Technology targets and helps eliminate plaque bacteria for healthier gums
  * On-demand mode allows for great control with less mess 3 intensity modes for just the right cleaning pressure — intense, medium, or sensitive
  * 3 flossing streams — Multi-Jet for all-around clean, Focused for targeted cleaning, and Rotational for gum massage
  * Perfect flossing solution for patients with braces and implants. Remove plaque and food that may be trapped between wires and brackets.
  * Cordless water flosser with long lasting rechargeable battery and charging station for a portable deep clean 

", Supplies ,Preventives,Case,3,https://www.dcdental.com/Oral-B-Water-Flosser-Advanced-3-Case,https://www.dcdental.com/images/186421851022.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 785-2535-0 , Essential Dental Systems , 785-2535-0 ,EZ-Fit Passive Translucent Fiber Post Kit Size #0 10/Pk,"The EZ-Fit Translucent post is made of translucent fiber resin material that
reflects the natural hues of the tooth and eliminates shadows through
composite restorations at the gingival/crown. This highly translucent post
systems allows for the optimal use of light-cured, dual-cured, and self-cured
cements and core materials.

", Supplies ,Pins & Posts,Pk,10,https://www.dcdental.com/EZ-Fit-Passive-Translucent-Fiber-Post-Kit-Size-0-10-Pk,https://www.dcdental.com/images/553350013201.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 785-2535-02 , Essential Dental Systems , 785-2535-02 ,EZ-Fit Passive Translucent Fiber Post Kit Size #2 10/Pk,"The EZ-Fit Translucent post is made of translucent fiber resin material that
reflects the natural hues of the tooth and eliminates shadows through
composite restorations at the gingival/crown. This highly translucent post
systems allows for the optimal use of light-cured, dual-cured, and self-cured
cements and core materials.

", Supplies ,Pins & Posts,Pk,10,https://www.dcdental.com/EZ-Fit-Passive-Translucent-Fiber-Post-Kit-Size-2-10-Pk,https://www.dcdental.com/images/407313633473.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 785-2535-01 , Essential Dental Systems , 785-2535-01 ,EZ-Fit Passive Translucent Fiber Post Kit Size #1 10/Pk,"The EZ-Fit Translucent post is made of translucent fiber resin material that
reflects the natural hues of the tooth and eliminates shadows through
composite restorations at the gingival/crown. This highly translucent post
systems allows for the optimal use of light-cured, dual-cured, and self-cured
cements and core materials.

", Supplies ,Pins & Posts,Pk,10,https://www.dcdental.com/EZ-Fit-Passive-Translucent-Fiber-Post-Kit-Size-1-10-Pk,https://www.dcdental.com/images/444352034489.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 616-PMEDGES , Hu-Friedy , 616-PMEDGES ,Bone Chisel PM Edge Crestal Short EE2 Handle,"Designed to elevate full thickness flap in the posterior area in preparation
for implant placement. The Edge can be also very useful early on in the
implant placement procedure when reflecting the thicker buccal soft tissue.

", Supplies ,Instruments,,,https://www.dcdental.com/Bone-Chisel-PM-Edge-Crestal-Short-EE2-Handle,https://www.dcdental.com/images/205668056011.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 616-E12 , Hu-Friedy , 616-E12 ,Elevator #12,"Elevator #12

  * Manufacturer: Hu-Friedy

", Supplies ,Instruments,,,https://www.dcdental.com/Elevator-12,https://www.dcdental.com/images/150076046782.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 616-CVHL1/27 , Hu-Friedy , 616-CVHL1/27 ,Carver Hollenback DE 1/2 #7 Handle,"Universal adaptability. Ideal for placing, carving and contouring amalgam.

", Supplies ,Instruments,,,https://www.dcdental.com/Carver-Hollenback-DE-1-2-7-Handle,https://www.dcdental.com/images/811683830804.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 372-T-EDGE11B , Tuttnauer USA Co. , 372-T-EDGE11B ,T-EDGE 11B Pre/Post Vacuum Class B Sterilizer 110v,"Designed to meet the most current sterilization standards ANSI/AAMI ST55
ensuring highest sterilization levels and highest quality construction to
ensure longevity.

  * Fast Cycles: Fast cycle times for wrapped instruments, complete cycle, including drying.
  * Optimal chamber capacity: More than 75% chamber capacity with 5 extra-long trays
  * Convenient loading: Convenient and easy loading with door opening to 110°
  * Advanced documentation: A variety of documentation and traceability options and barcodes.
  * User-friendly touchpad control panel: Displays programs, cycles times, water levels and more.

", Supplies ,Infection Control,,,https://www.dcdental.com/T-EDGE-11B-Pre-Post-Vacuum-Class-B-Sterilizer-110v,https://www.dcdental.com/images/860011750345.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 616-SN137C8 , Hu-Friedy , 616-SN137C8 ,Sickle Scaler/Curette DE 137 #C8 Resin Handle Purple,"Anterior sickle scaler. Double-ended, easy-grip handle.

", Supplies ,Instruments,,,https://www.dcdental.com/Sickle-Scalers-Hu-Friedy-SN137C8,https://www.dcdental.com/images/232770246832.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 517-DS-SYS-001 , Solmetex , 517-DS-SYS-001 ,DryShield Autoclavable Isolation System,"DryShield is an all-in-one isolation system that performs all of the tasks of
a high-suction evacuator, bite block, tongue shield and oral pathway protector
in one easy-to-use device.

  * Suction keeps work environment dry and clean
  * 2 quadrant dentistry
  * Increases visibility
  * Installs in seconds
  * Autoclavable
  * Portable kit allows for mobility
  * Enhances patient safety

", Supplies ,Evacuation,,,https://www.dcdental.com/DryShield-Autoclavable-Isolation-System,https://www.dcdental.com/images/165070171316.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 100-ASMS-100 ," Pac-Dent, Inc. ", 100-ASMS-100 ,Oscillating AntiSplatr Mini Disposable PA Soft Pink 100/Pk,"The all-new Oscillating AntiSplatr Mini Disposable Prophy Angle is an ultra-
compact disposable prophy angle that ditches the traditional unidirectional
rotation for a 70° oscillating spinning motion. This new reciprocating spin
mechanism significantly reduces the splatter of prophy paste, saliva, and
other body fluids while simultaneously decreasing the amount of frictional
heat generated to allow for longer teeth contact. This innovative gear is
enclosed in a slim body to maximize both visibility and reach.

  * 70° oscillating spin reduces splatter by up to 100%
  * Lowered heat generation allows for increased contact
  * Ultra-compact design expands visibility and reach
  * Unique cup design provides optimal flare around tooth contours
  * Quieter and smoother than traditional unidirectional DPAs

", Supplies ,Preventives,Pk,100,https://www.dcdental.com/Oscillating-AntiSplatr-ASMS-100,https://www.dcdental.com/images/202820330309.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 100-ASMF-100 ," Pac-Dent, Inc. ", 100-ASMF-100 ,Oscillating AntiSplatr Mini Disposable PA Firm White 100/Pk,"The all-new Oscillating AntiSplatr Mini Disposable Prophy Angle is an ultra-
compact disposable prophy angle that ditches the traditional unidirectional
rotation for a 70° oscillating spinning motion. This new reciprocating spin
mechanism significantly reduces the splatter of prophy paste, saliva, and
other body fluids while simultaneously decreasing the amount of frictional
heat generated to allow for longer teeth contact. This innovative gear is
enclosed in a slim body to maximize both visibility and reach.

  * 70° oscillating spin reduces splatter by up to 100%
  * Lowered heat generation allows for increased contact
  * Ultra-compact design expands visibility and reach
  * Unique cup design provides optimal flare around tooth contours
  * Quieter and smoother than traditional unidirectional DPAs

", Supplies ,Preventives,Pk,100,https://www.dcdental.com/Oscillating-AntiSplatr-ASMF-100,https://www.dcdental.com/images/185241020014.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 616-BPS2 , Hu-Friedy , 616-BPS2 ,Bank Pusher/Scaler DE #2,"A double ended hand instrument on #41 handle, combining a band pusher and a
scaler; band pusher shorter than BP300.

", Supplies ,Instruments,,,https://www.dcdental.com/Band-Pushers-Ligature-Directors-BPS2,https://www.dcdental.com/images/527014312337.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 144-PH-78-EFBB , EC Moore , 144-PH-78-EFBB ,"Paper Discs Pin Hole Center 7/8"" Emery Fine 300/Pk","Available in the same paper and grits as Moore's Brass Center Discs. Six sizes
are available: 1/4"", 3/8"", 1/2"", 5/8"", 3/4"", and 7/8"". Moore's Pin Hole Discs
are also available in a convenient spindle stand, or in an economical 525 disc
assortment.

", Supplies ,Finishing & Polishing,Pk,300,https://www.dcdental.com/Paper-Discs-Pin-Hole-Center-PH-78-EFBB,https://www.dcdental.com/images/614372624377.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 144-PH-78-EMBB , EC Moore , 144-PH-78-EMBB ,"Paper Discs Pin Hole Center 7/8"" Emery Medium 300/Pk","Available in the same paper and grits as Moore's Brass Center Discs. Six sizes
are available: 1/4"", 3/8"", 1/2"", 5/8"", 3/4"", and 7/8"". Moore's Pin Hole Discs
are also available in a convenient spindle stand, or in an economical 525 disc
assortment.

", Supplies ,Finishing & Polishing,Pk,300,https://www.dcdental.com/Paper-Discs-Pin-Hole-Center-PH-78-EMBB,https://www.dcdental.com/images/747807545555.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 144-PH-34-GCBB , EC Moore , 144-PH-34-GCBB ,"Paper Discs Pin Hole Center 7/8"" Emery Coarse 300/Pk","Available in the same paper and grits as Moore's Brass Center Discs. Six sizes
are available: 1/4"", 3/8"", 1/2"", 5/8"", 3/4"", and 7/8"". Moore's Pin Hole Discs
are also available in a convenient spindle stand, or in an economical 525 disc
assortment.

", Supplies ,Finishing & Polishing,Pk,300,https://www.dcdental.com/Paper-Discs-Pin-Hole-Center-PH-34-GCBB,https://www.dcdental.com/images/776058315341.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 144-PH-34-GFBB , EC Moore , 144-PH-34-GFBB ,"Paper Discs Pin Hole Center 3/4"" Garnet Fine 300/Pk","Available in the same paper and grits as Moore's Brass Center Discs. Six sizes
are available: 1/4"", 3/8"", 1/2"", 5/8"", 3/4"", and 7/8"". Moore's Pin Hole Discs
are also available in a convenient spindle stand, or in an economical 525 disc
assortment.

", Supplies ,Finishing & Polishing,Pk,300,https://www.dcdental.com/Paper-Discs-Pin-Hole-Center-PH-34-GFBB,https://www.dcdental.com/images/108668526242.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 144-PH-34-GMBB , EC Moore , 144-PH-34-GMBB ,"Paper Discs Pin Hole Center 3/4"" Garnet Medium 300/Pk","Available in the same paper and grits as Moore's Brass Center Discs. Six sizes
are available: 1/4"", 3/8"", 1/2"", 5/8"", 3/4"", and 7/8"". Moore's Pin Hole Discs
are also available in a convenient spindle stand, or in an economical 525 disc
assortment.

", Supplies ,Finishing & Polishing,Pk,300,https://www.dcdental.com/Paper-Discs-Pin-Hole-Center-PH-34-GMBB,https://www.dcdental.com/images/275546430585.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 144-PH-34-GXCBB , EC Moore , 144-PH-34-GXCBB ,"Paper Discs Pin Hole Center 3/4"" Garnet X Coarse 300/Pk","Available in the same paper and grits as Moore's Brass Center Discs. Six sizes
are available: 1/4"", 3/8"", 1/2"", 5/8"", 3/4"", and 7/8"". Moore's Pin Hole Discs
are also available in a convenient spindle stand, or in an economical 525 disc
assortment.

", Supplies ,Finishing & Polishing,Pk,300,https://www.dcdental.com/Paper-Discs-Pin-Hole-Center-PH-34-GXCBB,https://www.dcdental.com/images/372483242827.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 144-PH-34-SCBB , EC Moore , 144-PH-34-SCBB ,"Paper Discs Pin Hole Center 3/4"" Sand Coarse 300/Pk","Available in the same paper and grits as Moore's Brass Center Discs. Six sizes
are available: 1/4"", 3/8"", 1/2"", 5/8"", 3/4"", and 7/8"". Moore's Pin Hole Discs
are also available in a convenient spindle stand, or in an economical 525 disc
assortment.

", Supplies ,Finishing & Polishing,Pk,300,https://www.dcdental.com/Paper-Discs-Pin-Hole-Center-PH-34-SCBB,https://www.dcdental.com/images/647134832185.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 144-PH-34-SFBB , EC Moore , 144-PH-34-SFBB ,"Paper Discs Pin Hole Center 3/4"" Sand Fine 300/Pk","Available in the same paper and grits as Moore's Brass Center Discs. Six sizes
are available: 1/4"", 3/8"", 1/2"", 5/8"", 3/4"", and 7/8"". Moore's Pin Hole Discs
are also available in a convenient spindle stand, or in an economical 525 disc
assortment.

", Supplies ,Finishing & Polishing,Pk,300,https://www.dcdental.com/Paper-Discs-Pin-Hole-Center-PH-34-SFBB,https://www.dcdental.com/images/412150236343.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 144-PH-34-SMBB , EC Moore , 144-PH-34-SMBB ,"Paper Discs Pin Hole Center 3/4"" Sand Medium 300/Pk","Available in the same paper and grits as Moore's Brass Center Discs. Six sizes
are available: 1/4"", 3/8"", 1/2"", 5/8"", 3/4"", and 7/8"". Moore's Pin Hole Discs
are also available in a convenient spindle stand, or in an economical 525 disc
assortment.

", Supplies ,Finishing & Polishing,Pk,300,https://www.dcdental.com/Paper-Discs-Pin-Hole-Center-PH-34-SMBB,https://www.dcdental.com/images/131824315886.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 144-PH-34-SXFBB , EC Moore , 144-PH-34-SXFBB ,"Paper Discs Pin Hole Center 3/4"" Sand X-Fine 300/Pk","Available in the same paper and grits as Moore's Brass Center Discs. Six sizes
are available: 1/4"", 3/8"", 1/2"", 5/8"", 3/4"", and 7/8"". Moore's Pin Hole Discs
are also available in a convenient spindle stand, or in an economical 525 disc
assortment.

", Supplies ,Finishing & Polishing,Pk,300,https://www.dcdental.com/Paper-Discs-Pin-Hole-Center-PH-34-SXFBB,https://www.dcdental.com/images/182205844549.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 144-PH-34-SXXFBB , EC Moore , 144-PH-34-SXXFBB ,"Paper Discs Pin Hole Center 3/4"" Sand XX-Fine 300/Pk","Available in the same paper and grits as Moore's Brass Center Discs. Six sizes
are available: 1/4"", 3/8"", 1/2"", 5/8"", 3/4"", and 7/8"". Moore's Pin Hole Discs
are also available in a convenient spindle stand, or in an economical 525 disc
assortment.

", Supplies ,Finishing & Polishing,Pk,300,https://www.dcdental.com/Paper-Discs-Pin-Hole-Center-PH-34-SXXFBB,https://www.dcdental.com/images/403314766318.01.png?resizeid=2&resizeh=600&resizew=600
