Seller Platform,Seller SKu,Manufacture Name,Manufacture Code,Product Title,Description,Packaging,Qty ,Categories,Subcategories,Product URL,Image URL
Office Depot,985316,AG2 TECHNOLOGY LLC,AFRAMESIGN24X36,Custom A-Frame Sign,"Increasing awareness of your brand and business name can make it more likely for casual customers to visit your store location or website. This A-frame sandwich board sign can be placed in high-traffic areas, putting your logo and business promotions in plain view of passersby.  A-frame signs or Signacades are great for daily advertising for your business or event.  Both interior inserts on each side can accommodate a 24"" x 36"" foam mounted poster that are easy to see, even from a distance.  Built in clips on both sides hold the insert in place without the need of tape, screws, or Velcro.  The stand and inserts are both water resistant and make it great for indoor or outdoor use.  Our sandwich board gives you the ability to add sand or water inside of the plastic frame to give it more stability in windy outdoor occasions.  Our sidewalk sign dimensions are 45""H x 25""W x 3""D.  Choose from our selection of predesigned templates to fit your needs for calling out your business, sales, and events.  Coming with a design or want to create your own, select our upload or create your own templates to begin your artwork process.  Also known as: Sandwich boards, Sidewalk signs, Curb signs, Standing signs  Production time: 3 - 5 days.",,1,Print & Copy,Large Format Printing,https://www.officedepot.com//a/products/985316/Custom-A-Frame-Sign/,"https://media.officedepot.com/images/products/985316/985316_o01_aframe_sign/985316_o01_aframe_sign,https://media.officedepot.com/images/products/985316/985316_o02_aframe_sign/985316_o02_aframe_sign,https://media.officedepot.com/images/products/985316/985316_o03_aframe_sign/985316_o03_aframe_sign,https://media.officedepot.com/images/products/985316/985316_o04_aframe_sign/985316_o04_aframe_sign"
Office Depot,7082965,SP RICHARDS,25225BD,"Sparco Straight Scissors w/Rubber Grip Handle - 7&quot; Overall Length - Straight - Stainless Steel - Pointed Tip - Black, Gray - 3 / Bundle","Straight scissors feature a rubberized grip for more comfort and control. Corrosion-resistant, stainless steel blades keep a sharp edge longer. Blades are finely ground for smooth, constant cutting. Scissors are great for everyday use in your home office.    Perfect for smooth, consistent cutting with finely ground blades  Corrosion-resistant stainless steel blades for lasting sharper edge  Comfortable hold with rubberized grip  Firm grip for more control  Straight handle for cutting in-line with the center of the handle",,3,Office Supplies,Basic Supplies,https://www.officedepot.com//a/products/7082965/Sparco-Straight-Scissors-wRubber-Grip-Handle/;jsessionid=0000UIPTO6Ok1Zpwsw-KiRLpjJE:17h4h7bqh,https://media.officedepot.com/images/products/7082965/7082965_o51_et_8758639/7082965_o51_et_8758639
Office Depot,375667,ACME UNITED ASIA PACIFIC LTD,0,"Office Depot&reg; Brand Scissors, 8&quot; Straight, Black","Whether you're working on a school project, creating decorations or simply doing general house or office work, having a pair of straight Office Depot scissors can come in handy. Keep a pair in your desk or kitchen drawer, so they're simple to find when you need them.  Lightweight scissors are stainless steel with edge-ground blades. These scissors are built for durability.  Office Depot scissors are designed for left- or right-handed use.",,1,Office Supplies,Basic Supplies,https://www.officedepot.com//a/products/375667/Office-Depot-Brand-Scissors-8-Straight/;jsessionid=0000UIPTO6Ok1Zpwsw-KiRLpjJE:17h4h7bqh,https://media.officedepot.com/images/products/375667/375667_p/375667_p
Office Depot,6822487,ACME UNITED ASIA PACIFIC LTD,OM97615,"Office Depot&reg; Brand Soft Handle Stainless Steel Scissors, 8&quot;, Straight, Blue/Gray","Great for general-purpose use  Stainless steel blades are durable and cut efficiently.  Straight, soft handle helps give a secure, comfortable grip.",,1,Office Supplies,Basic Supplies,https://www.officedepot.com//a/products/6822487/Office-Depot-Brand-Soft-Handle-Stainless/;jsessionid=0000UIPTO6Ok1Zpwsw-KiRLpjJE:17h4h7bqh,"https://media.officedepot.com/images/products/6822487/6822487_o01_081820/6822487_o01_081820,https://media.officedepot.com/images/products/6822487/6822487_o02_081820/6822487_o02_081820"
Office Depot,446485,ACME UNITED CORP,14609,"Westcott&reg; Student Scissors with Anti-Microbial Protection, 7&quot;, Pointed, Assorted Colors","Ideal for shared/common areas such as office, classroom and breakroom.  Blades made of precision-ground, rust-resistant and corrosion-resistant stainless steel for longer life.  Contains an antimicrobial agent to help inhibit the growth of bacterial stains and odors.  Scissors best for ages 12+  Signature contoured RibGrip® handle for maximum comfort.  Ideal for medium strength cutting for layers of paper, foam and poster board. For a straight runnning cut every time.  Adjustable pivot adjust blade tension for optimal performance.  Backed by the manufacturer's limited lifetime warranty.  Perfect for cutting paper, trimming photos, craft projects and more!  Ultra-soft handle is suitable for right- or left-handed use.  Suitable for ages 12+.  Available in assorted colors. Option for color choice is not available.  Antimicrobial is an agent that kills microorganisms or stops their growth",,1,Office Supplies,Basic Supplies,https://www.officedepot.com//a/products/446485/Westcott-Student-Scissors-with-Anti-Microbial/;jsessionid=0000UIPTO6Ok1Zpwsw-KiRLpjJE:17h4h7bqh,"https://media.officedepot.com/images/products/446485/446485_o01/446485_o01,https://media.officedepot.com/images/products/446485/446485_o02/446485_o02,https://media.officedepot.com/images/products/446485/446485_o03/446485_o03,https://media.officedepot.com/images/products/446485/446485_o04/446485_o04"
Office Depot,691026,FISKARS INC,01005413,"Fiskars&reg; Everyday Titanium Non-Stick Softgrip&reg; Scissors, 8&quot;, Straight",Titanium coated blades are 3x harder than steel for lasting durability  Non-stick blades resist build up from adhesives.  ErgoPlus™ handle is designed to fit your hand. Softgrip handle reduces hand fatigue.  Hardened stainless-steel blades provide superb cutting performance. Perfect for everyday tasks.  For left- or right-handed use.  Backed by the manufacturer's full lifetime warranty.  Greener choice - contains 30% postconsumer recycled content.  Contains Recycled Content - See Specs for Details,,1,Office Supplies,Basic Supplies,https://www.officedepot.com//a/products/691026/Fiskars-Everyday-Titanium-Non-Stick-Softgrip/;jsessionid=0000UIPTO6Ok1Zpwsw-KiRLpjJE:17h4h7bqh,https://media.officedepot.com/images/products/691026/691026_o51/691026_o51
Office Depot,978561,3M CO,1468TUNS-MIX,"Scotch&trade; Precision Ultra Edge Titanium Non-Stick Scissors, 8&quot;, Pointed, Assorted",Sharp and durable blades for extended use  Reliable and sharp titanium-fused blades resist wear and corrosion for extended use.  Soft comfort grip handles for ease of use.,,1,Office Supplies,Basic Supplies,https://www.officedepot.com//a/products/978561/Scotch-Precision-Ultra-Edge-Titanium-Non/;jsessionid=0000UIPTO6Ok1Zpwsw-KiRLpjJE:17h4h7bqh,"https://media.officedepot.com/images/products/978561/978561_p/978561_p,https://media.officedepot.com/images/products/978561/978561_o02/978561_o02"
Office Depot,822593,ACME UNITED CORP,16550,"Westcott&reg; Titanium Bonded Non-Stick Scissors, 8&quot;, Pointed, Gray/Yellow, Pack Of 2","Westcott Titanium Bonded Non-Stick blades are six times longer lasting than the previous formula. Westcott uses a process that bonds Titanium Bonded to the blades and then coats them with a breakthrough non-stick formula to produce an adhesive-resistant, easy-to-clean, and longer lasting cutting edge. Glide provides a no tool adjustable glide technology for optimal cutting performance. These scissors will stay sharp, smooth-cutting and residue-free for years making them an exceptional value like all Westcott products.  Glide provides a no tool adjustable glide technology for optimal cutting performance.  Allowing less tension for thin materials and higher tension for thicker materials.  Titanium Bonded blades are 6x longer lasting than the previous formula, so blades stay sharper, longer.  Non-stick coating makes blades corrosion and adhesive-resistant.  Perfect for cutting tape, Velcro fasteners or other adhesives.  Ideal for the mail room, art room, and scrapbooking.  Lifetime manufacturer's warranty.",,2,Office Supplies,Basic Supplies,https://www.officedepot.com//a/products/822593/Westcott-Titanium-Bonded-Non-Stick-Scissors/;jsessionid=0000UIPTO6Ok1Zpwsw-KiRLpjJE:17h4h7bqh,"https://media.officedepot.com/images/products/822593/822593_o01_100422/822593_o01_100422,https://media.officedepot.com/images/products/822593/822593_o02_100422/822593_o02_100422,https://media.officedepot.com/images/products/822593/822593_o03_100422/822593_o03_100422,https://media.officedepot.com/images/products/822593/822593_o04_100422/822593_o04_100422,https://media.officedepot.com/images/products/822593/822593_o05_100422/822593_o05_100422"
Office Depot,2480283,ACME UNITED CORP,13132,"Westcott&reg; Hard Handle Kids Value Scissors, 5&quot;, Pointed, Assorted Colors, Pack Of 2","Specially designed for a childs' hand. They are well-suited for home crafting projects and elaborate school assignments.  Easily cuts through paper, fabric, string and other craft material.  For left- or right-handed use.  Blades are made of corrosion-resistant and rust-resistant stainless steel.  Insert molded design for added durability.  Great for kids who love arts and crafts.  Available in assorted colors (color choice not available).  Backed by the manufacturer's 5-year limited warranty.  Product is available in multiple colors. Option for color selection is not available.  Remote learning from anywhere is easier with the right essentials.",,2,Office Supplies,Basic Supplies,https://www.officedepot.com//a/products/2480283/Westcott-Hard-Handle-Kids-Value-Scissors/;jsessionid=0000UIPTO6Ok1Zpwsw-KiRLpjJE:17h4h7bqh,"https://media.officedepot.com/images/products/2480283/2480283_o01_052522/2480283_o01_052522,https://media.officedepot.com/images/products/2480283/2480283_o02_052522/2480283_o02_052522,https://media.officedepot.com/images/products/2480283/2480283_o03_052522/2480283_o03_052522,https://media.officedepot.com/images/products/2480283/2480283_o04_052522/2480283_o04_052522,https://media.officedepot.com/images/products/2480283/2480283_o05_052522/2480283_o05_052522,https://media.officedepot.com/images/products/2480283/2480283_o06_052522/2480283_o06_052522"
Office Depot,2820705,FISKARS INC,FSK1508101002,"Fiskars&reg; Office Scissors, 8&quot;, Black, Pack Of 2","Durable stainless steel blades make clean cuts and are ideal for cutting a variety of office and classroom materials  8” Performance Scissors’ durable stainless steel blades make clean cuts and are ideal for cutting a variety of everyday materialsHandle is made with 90% post-consumer wasteErgonomic, contoured handle is sculpted to fit your handLength: 8""Full lifetime warranty  • 8” Performance Recycled Scissors’ durable stainless steel blades make clean cuts and are ideal for cutting a variety of everyday household materials• Handle is made with 90% post-consumer waste• Ergonomic, contoured handle is sculpted to fit your hand• Length: 8""• Full lifetime warranty  Contains Recycled Content - See Specs for Details",,2,Office Supplies,Basic Supplies,https://www.officedepot.com//a/products/2820705/Fiskars-Office-Scissors-8-Black-Pack/;jsessionid=0000UIPTO6Ok1Zpwsw-KiRLpjJE:17h4h7bqh,"https://media.officedepot.com/images/products/2820705/2820705_o01_fiskars_office_scissors/2820705_o01_fiskars_office_scissors,https://media.officedepot.com/images/products/2820705/2820705_o51_et_8534913_fiskars_office_scissors/2820705_o51_et_8534913_fiskars_office_scissors,https://media.officedepot.com/images/products/2820705/2820705_o58_et_5582382_fiskars_office_scissors/2820705_o58_et_5582382_fiskars_office_scissors"
Office Depot,978462,3M CO,MMM1427,"Scotch&reg; Multipurpose Scissors, 7&quot;, Pointed, Gray/Red","Multipurpose scissors are great for various tasks  Design offers comfort grip handles for your convenience.  Blades are crafted from durable stainless steel that resists corrosion.  Easily cuts photos, papers crafts and more making it a great fit for your everyday needs.  Sharpened blades provide long-lasting, sharper cutting edges.  Straight handle is designed for both right-handed and left-handed users.",,1,Office Supplies,Basic Supplies,https://www.officedepot.com//a/products/978462/Scotch-Multipurpose-Scissors-7-Pointed-GrayRed/;jsessionid=0000UIPTO6Ok1Zpwsw-KiRLpjJE:17h4h7bqh,"https://media.officedepot.com/images/products/978462/978462_p_main_image/978462_p_main_image,https://media.officedepot.com/images/products/978462/978462_o51_et_8555559/978462_o51_et_8555559"
Office Depot,378410,ACME UNITED CORP,ACM13402,"Westcott&reg; All-Purpose Value Stainless Steel Scissors, 8&quot;, Pointed, Black, Pack Of 3","Ideal for light daily use in the home or office, these Westcott scissors deliver the smooth cutting performance you need. Stainless-steel blades slice through paper and other media.  Lightweight yet durable design. All-purpose scissors are great for everyday light-use like cutting paper, photos and ribbon.  Straight scissors are ideal for left- or right-handed use.  Made of corrosion- and rust-resistant stainless steel blades.  Backed by the manufacturer's 5-year limited warranty.",,3,Office Supplies,Basic Supplies,https://www.officedepot.com//a/products/378410/Westcott-All-Purpose-Value-Stainless-Steel/;jsessionid=0000UIPTO6Ok1Zpwsw-KiRLpjJE:17h4h7bqh,"https://media.officedepot.com/images/products/378410/378410_o01_100422/378410_o01_100422,https://media.officedepot.com/images/products/378410/378410_o02_100422/378410_o02_100422,https://media.officedepot.com/images/products/378410/378410_o03_100422/378410_o03_100422,https://media.officedepot.com/images/products/378410/378410_o04_100422/378410_o04_100422,https://media.officedepot.com/images/products/378410/378410_o05_100422/378410_o05_100422,https://media.officedepot.com/images/products/378410/378410_o06_100422/378410_o06_100422,https://media.officedepot.com/images/products/378410/378410_o07_100422/378410_o07_100422,https://media.officedepot.com/images/products/378410/378410_o08_100422/378410_o08_100422"
Office Depot,925310,FISKARS INC,142490-1005,"Fiskars&reg; Office Scissors, 8&quot;, Pointed, Blue","Durable stainless steel blades make clean cuts and are ideal for cutting a variety of office and classroom materials  8” Performance Scissors’ durable stainless steel blades make clean cuts and are ideal for cutting a variety of everyday materialsHandle is made with 90% post-consumer wasteErgonomic, contoured handle is sculpted to fit your handLength: 8""Full lifetime warranty",,1,Office Supplies,Basic Supplies,https://www.officedepot.com//a/products/925310/Fiskars-Office-Scissors-8-Pointed-Blue/;jsessionid=0000UIPTO6Ok1Zpwsw-KiRLpjJE:17h4h7bqh,"https://media.officedepot.com/images/products/925310/925310_p_8in_blue_042115/925310_p_8in_blue_042115,https://media.officedepot.com/images/products/925310/925310_o51/925310_o51,https://media.officedepot.com/images/products/925310/925310_o58/925310_o58"
Office Depot,568419,LEPAGES 2000 INC,OD-HM50-6,"Office Depot&reg; Brand Heavy Duty Shipping Packing Tape, 1.89&quot; x 54.6 Yd., Crystal Clear, Pack Of 6 Rolls","Prepare packages with Office Depot Brand Heavy-Duty Shipping Tape. The strong adhesive keeps your box secure even through transit. Plus, the tape allows you to seal packages without covering up important labels.  Heavy Duty Packing tape with strong holding power to ensure a secure seal.  Strong Hot Melt adhesive creates fast, durable seals.  Crystal clear tape allows you to see text, images or labels clearly.  Durable enough to handle the heaviest packaging applications; our strongest holding power.  Moisture-resistant.  Ideal for home and office shipping needs.  Meets US Postal regulations for standard packages.  Clear design.  Includes 6 rolls of packing tape.",,6,Office Supplies,"Mailing, Packing & Shipping",https://www.officedepot.com//a/products/568419/Office-Depot-Brand-Heavy-Duty-Shipping/;jsessionid=0000j-LNc-CHeUH3PU2ESuILRwU:17h4h7ceo,"https://media.officedepot.com/images/products/568419/568419_o01_100120/568419_o01_100120,https://media.officedepot.com/images/products/568419/568419_o02_100120/568419_o02_100120,https://media.officedepot.com/images/products/568419/568419_o03_100120/568419_o03_100120,https://media.officedepot.com/images/products/568419/568419_o04_100120/568419_o04_100120,https://media.officedepot.com/images/products/568419/568419_o05_100120/568419_o05_100120"
Office Depot,444970,3M CO,1426,"Scotch&reg; Heavy-Duty Shipping Packing In Dispenser, 1-1/2&quot; Core, 1-7/8&quot; x 22.2 Yd., Clear, Pack Of 6 Rolls","Now even the heaviest packages can withstand rough handling. Our Scotch® Heavy Duty Shipping Packaging Tape holds strong on all box types, including 100% recycled boxes. It's even guaranteed to stay sealed.* The strong, tough, solvent free hot melt adhesive locks in your heavy duty contents and locks out everything else. You don’t need layers of tape to get the job done-just one strip at a time-so you save time. Your heavy packages can bear the weight and stay sealed through it all with Scotch® Heavy Duty packaging tape.  Guaranteed to Stay Sealed* (*If your box does not stay sealed, 3M will refund the purchase price of this tape. Proof of purchase required. Contact: 1-800-3MHELPS).  Provides excellent holding power for heavy-duty packaging and shipping.  Strong seal on all box types, including hard-to-stick-to 100% recycled boxes.  Strong, durable solvent-free hot melt adhesive seals and protects.  Release coating makes unwind easy. Resists slivering, splitting and tearing.  Scotch™ Brand’s strongest clear-to-the-core packaging tape.  Clear backing and instant adhesion.  Heavy duty seal, even through rough handling.  You don't need layers of tape to get the job done - Just one strip - so you save time.  Your heavy packages can bear the weight and stay sealed through it all.  Meets U.S. Postal regulations for standard packages.  Includes refillable hand-held packaging tape dispensers.",,,Office Supplies,"Mailing, Packing & Shipping",https://www.officedepot.com//a/products/444970/Scotch-Heavy-Duty-Shipping-Packing-In/;jsessionid=0000j-LNc-CHeUH3PU2ESuILRwU:17h4h7ceo,"https://media.officedepot.com/images/products/444970/444970_o01_041122/444970_o01_041122,https://media.officedepot.com/images/products/444970/444970_o02_041122/444970_o02_041122,https://media.officedepot.com/images/products/444970/444970_o03_041122/444970_o03_041122,https://media.officedepot.com/images/products/444970/444970_o04_041122/444970_o04_041122,https://media.officedepot.com/images/products/444970/444970_o07_041122/444970_o07_041122,https://media.officedepot.com/images/products/444970/444970_o08_041122/444970_o08_041122,https://media.officedepot.com/images/products/444970/444970_o09_041122/444970_o09_041122,https://media.officedepot.com/images/products/444970/444970_o10_041122/444970_o10_041122,https://media.officedepot.com/images/products/444970/444970_o11_041122/444970_o11_041122,https://media.officedepot.com/images/products/444970/444970_o13_041122/444970_o13_041122,https://media.officedepot.com/images/products/444970/444970_o14_041122/444970_o14_041122,https://media.officedepot.com/images/products/444970/444970_o15_041122/444970_o15_041122"
