Seller Platform,Seller SKU,Manufacture Name,Manufacture Code,Product Title,Description,Packaging,Qty,Category,Subcategory,Product Page URL,Attachment URL,Image URL
ADS Dental,A080224,ADS Dental,A080224,N4 Assistant stool ,"
Round seat, Fiber leather upholstery,Chrome plated pneumatic cylinderAdjustable chrome foot ringCast aluminum starRatcheting body support,1 year warranty
Request a quote
Round seat, Fiber leather upholstery,Chrome plated pneumatic cylinder.Adjustable chrome foot ring.Cast aluminum star.Ratcheting body support,1 year warranty.",,,Dental Stool,,https://www.adsdental.com//products/n4-assistant-stool/,https://www.adsdental.com//eos-extraoral-suction-system-operation-principle.pdf,"https://www.adsdental.com/https://www.adsdental.com/uploads/image/20200630/15/n4-assistant-stool.jpg,https://www.adsdental.com//uploads/image/20200506/11/n4-assistantstool-1.jpg"
ADS Dental,A080103,ADS Dental,A080103,D3 Dental Stool,"
Chrome plated pneumatic cylinderHeight adjustment, Backrest forward backward adjustment,Seat suface adjustment,Contoured seat & back, Fiber leather upholsteryCast aluminum star, Quiet twin wheel casters,1 year warranty
Request a quote
Chrome plated pneumatic cylinder.Height adjustment, Backrest forward backward adjustment,Seat surface adjustment,Contoured seat & back, Fiber leather upholstery.Cast aluminum star.",,,Dental Stool,,https://www.adsdental.com//products/d3-dental-stool/,https://www.adsdental.com//eos-extraoral-suction-system-operation-principle.pdf,"https://www.adsdental.com/https://www.adsdental.com/uploads/image/20200630/15/d3-dental-stool.jpg,https://www.adsdental.com//uploads/image/20200506/11/d3-dental-stool-1.jpg"
ADS Dental,,ADS Dental,,ADS 1000,"
Power Supply: AC 220V±5% 50/60Hz Power:3*2hpExhaustVolume:390L@58psiMax Pressure:116 psiON/OFF Pressure:72.5/116 psiNoise:70dbEnvironment Temperature:40-105 °FAir Tank Volume:38.3 galOverall Dimension:43.3inch*23.5inch *30.5 inchMaximum User Number:10
Request a quote
The ADS line of compressors is specifically designed and engineered for individual and large clinic practices. All of our compressors have been designed to produce oil free, dry air while providing continuous airflow to dental operatories.",,,Air Compressor,,https://www.adsdental.com//products/ads-1000/,https://www.adsdental.com//eos-extraoral-suction-system-operation-principle.pdf,https://www.adsdental.com/uploads/image/20200805/17/ads-1000.jpg
ADS Dental,,ADS Dental,,ADS 600,"
Power Supply: AC 220V±5% 50/60Hz Power:2*2hpExhaust Volume:260L@58psiMax Pressure:116 psiON/OFF Pressure:72.5/116 psiNoise:70dbEnvironment Temperature:40-105 °FAir Tank Volume:29.1 galOverall Dimension:33.4inch*23.5inch *30.5 inchMaximum User Number:6
Request a quote
The ADS line of compressors is specifically designed and engineered for individual and large clinic practices. All of our compressors have been designed to produce oil free, dry air while providing continuous airflow to dental operatories.",,,Air Compressor,,https://www.adsdental.com//products/ads-600/,https://www.adsdental.com//eos-extraoral-suction-system-operation-principle.pdf,https://www.adsdental.com/uploads/image/20200805/17/ads-600.jpg
ADS Dental,,ADS Dental,,ADS 300,"
Power Supply: AC220V±5% 50/60Hz Power:2hpExhaust Volume:116L@58psiMax Pressure:116 psiON/OFF Pressure:72.5/116 psiNoise:66dbEnvironment Temperature:40-105 °FAir Tank Volume:18.5 galOverall Dimension:17.7inch*22.7inch *33 inchMaximum User Number:3
Request a quote
The ADS line of compressors is specifically designed and engineered for individual and large clinic practices. All of our compressors have been designed to produce oil free, dry air while providing continuous airflow to dental operatories.",,,Air Compressor,,https://www.adsdental.com//products/ads-300/,https://www.adsdental.com//eos-extraoral-suction-system-operation-principle.pdf,https://www.adsdental.com/uploads/image/20200805/17/ads-300.jpg
ADS Dental,A091602A121532HP Fiber optic system with 1 tubing (6 pin),ADS Dental,"A091602,A121532,HP Fiber optic system with 1 tubing (6 pin)",AJ16 Ortho dental chair OC-3,"
AJ16 Luxury hydraulic chair, with 3 programmable positions,Articulating headrest,Swing up/down aluminium armrest,Wide backrest, upgraded fiber leather,Cast iron chair frame,Cast aluminium backrest stand,Cast aluminium base,60 degrees seat rotation, chair safety switch,One touchpad attached on armrest, Foot controlOrtho post mount (40"") Whale LED LightOC-3 Smaller Orthodontic Mobile CartSolid surface table,With 3 auto H.P.control,Master on/off switch,1 syringe,1HVE,1SE,Self contained water bottle system,Wet/Dry foot control,5 drawers,Junction box and valves,8'umbilical,5 Hole Plug
Request a quote
AJ16 Luxury hydraulic chair, with 3 programmable positions,Articulating headrest,Swing up/down aluminium armrest,Wide backrest, upgraded fiber leather,Cast iron chair frame.",,,Orthodontic Chair,,https://www.adsdental.com//products/aj16-ortho-dental-chair-oc-3.html,https://www.adsdental.com//eos-extraoral-suction-system-operation-principle.pdf,"https://www.adsdental.com/https://www.adsdental.com/uploads/image/20200605/12/7-orthodontic-chair--ortho-cartaj16-ortho-dental-chair-with-oc-3.jpg,https://www.adsdental.com//uploads/image/20200612/12/aj-16-chiar-1_1591935753.jpg"
ADS Dental,A091602A121532HP Fiber optic system with 1 tubing (6 pin),ADS Dental,"A091602,A121532,HP Fiber optic system with 1 tubing (6 pin)",AJ16 Ortho dental chair OC-2,"
AJ16 Luxury hydraulic chair, with 3 programmable positions,Articulating headrest,Swing up/down aluminium armrest,Wide backrest, upgraded fiber leather,Cast iron chair frame,Cast aluminium backrest stand,Cast aluminium base,60 degrees seat rotation, chair safety switch,One touchpad attached on armrest, Foot controlOrtho post mount (40"") Whale LED LightOC-2 Enlarged Orthodontic Mobile CartSolid surface table,With 3 auto H.P.control,Master on/off switch,1 syringe,1HVE,1SE,Self contained water bottle system,Wet/Dry foot control,5 drawers,Junction box and valves,8'umbilical,5 Hole Plug
Request a quote
AJ16 Luxury hydraulic chair, with 3 programmable positions,Articulating headrest,Swing up/down aluminium armrest,Wide backrest, upgraded fiber leather,Cast iron chair frame.",,,Orthodontic Chair,,https://www.adsdental.com//products/aj16-ortho-dental-chair-oc-2/,https://www.adsdental.com//eos-extraoral-suction-system-operation-principle.pdf,"https://www.adsdental.com/https://www.adsdental.com/uploads/image/20200605/12/7-orthodontic-chair--ortho-cartaj16-ortho-dental-chair-with-oc-2.jpg,https://www.adsdental.com//uploads/image/20200612/12/aj-16-chiar-1_1591935753.jpg"
ADS Dental,A091502A121532HP Fiber optic system with 1 tubing (6 pin),ADS Dental,"A091502,A121532,HP Fiber optic system with 1 tubing (6 pin)",AJ15 Ortho dental chair OC-3,"
AJ15 hydraulic chair with 3 programmable positions,Articulating headrest,Swing up/down aluminium armrest,Narrow backrest, upgraded fiber leather,Cast iron chair frame,Steel backrest stand,Steel base plate,60 degrees seat rotation, chair safety switch,One touchpad attached on armrest, Foot controlOrtho post mount (40"") Whale LED LightOC-3 Smaller Orthodontic Mobile CartSolid surface table,With 3 auto H.P.control,Master on/off switch,1 syringe,1HVE,1SE,Self contained water bottle system,Wet/Dry foot control,5 drawers,Junction box and valves,8'umbilical,5 Hole Plug
Request a quote
AJ15 hydraulic chair with 3 programmable positions,Articulating headrest,Swing up/down aluminium armrest,Narrow backrest, upgraded fiber leather,Cast iron chair frame,Steel backrest stand.",,,Orthodontic Chair,,https://www.adsdental.com//products/aj15-ortho-dental-chair-oc-3.html,https://www.adsdental.com//eos-extraoral-suction-system-operation-principle.pdf,https://www.adsdental.com/uploads/image/20200605/12/7-orthodontic-chair--ortho-cartaj15-ortho-dental-chair-with-oc-3.jpg
ADS Dental,A091201A121532HP Fiber optic system with 1 tubing (6 pin),ADS Dental,"A091201,A121532,HP Fiber optic system with 1 tubing (6 pin)",AJ12 Ortho dental chair OC-3,"
AJ12 Electromechanical chair with 3 programmable positions,Articulating hea drest,Swing out armrest,Steel backrest stand,Steel base plate,Chair safety switch,Wide backrest, Upgraded fiber leather,One touchpad attached on armrest, Foot controlOrtho post mount (40"") Whale LED LightOC-3 Smaller Orthodontic Mobile CartSolid surface table,With 3 auto H.P.control,Master on/off switch,1 syringe,1HVE,1SE,Self contained water bottle system,Wet/Dry foot control,5 drawers,Junction box and valves,8'umbilical,5 Hole Plug
Request a quote
AJ12 Electromechanical chair with 3 programmable positions,Articulating headrest,Swing out armrest,Steel backrest stand,Steel base plate,Chair safety switch,Wide backrest, Upgraded fiber leather.",,,Orthodontic Chair,,https://www.adsdental.com//products/aj12-ortho-dental-chair-oc-3.html,https://www.adsdental.com//eos-extraoral-suction-system-operation-principle.pdf,https://www.adsdental.com/uploads/image/20200605/12/7-orthodontic-chair--ortho-cartaj12-ortho-dental-chair-with-oc-3.jpg
ADS Dental,A091201A121532HP Fiber optic system with 1 tubing (6 pin),ADS Dental,"A091201,A121532,HP Fiber optic system with 1 tubing (6 pin)",AJ12 Ortho dental chair OC-2,"
AJ12 Electromechanical chair with 3 programmable positions,Articulating hea drest,Swing out armrest,Steel backrest stand,Steel base plate,Chair safety switch,Wide backrest, Upgraded fiber leather,One touchpad attached on armrest, Foot controlOrtho post mount (40"") Whale LED LightOC-2 Enlarged Orthodontic Mobile CartSolid surface table,With 3 auto H.P.control,Master on/off switch,1 syringe,1HVE,1SE,Self contained water bottle system,Wet/Dry foot control,5 drawers,Junction box and valves,8'umbilical,5 Hole Plug
Request a quote
AJ12 Electromechanical chair with 3 programmable positions,Articulating headrest,Swing out armrest,Steel backrest stand,Steel base plate,Chair safety switch,Wide backrest, Upgraded fiber leather.",,,Orthodontic Chair,,https://www.adsdental.com//products/aj12-ortho-dental-chair-oc-2/,https://www.adsdental.com//eos-extraoral-suction-system-operation-principle.pdf,https://www.adsdental.com/uploads/image/20200605/12/7-orthodontic-chair--ortho-cartaj12-ortho-dental-chair-with-oc-2.jpg
ADS Dental,A091502,ADS Dental,A091502,AJ15 Ortho Dental Chair With Light,"
AJ15 hydraulic chair with 3 programmable positions,Articulating headrest,Swing up/down aluminium armrest,Narrow backrest,upgraded fiber leather,Cast iron chair frame,Steel backrest stand,Steel base plate,60 degrees seat rotation,chair safety switch,One touchpad attached on armrest, Foot control
Request a quote
AJ15 hydraulic chair with 3 programmable positions,Articulating headrest,Swing up/down aluminium armrest,Narrow backrest,upgraded fiber leather,Cast iron chair frame.",,,Orthodontic Chair,,https://www.adsdental.com//products/aj15-ortho-dental-chair-with-light/,https://www.adsdental.com//eos-extraoral-suction-system-operation-principle.pdf,"https://www.adsdental.com/https://www.adsdental.com/uploads/image/20200605/12/7-orthodontic-chair--ortho-cartaj15-ortho-dental-chair-with-light-02.jpg,https://www.adsdental.com//uploads/image/20200508/09/aj15-ortho-dental-chair-with-light-1.jpg"
ADS Dental,A0504552A121532HP Fiber optic system with 1 tubing (6 pin),ADS Dental,"A0504552,A121532,HP Fiber optic system with 1 tubing (6 pin)",OC-2 Orthodontic Mobile Cart,"
OC-2 Enlarged Orthodontic Mobile CartSolid surface table,With 3 auto H.P.control,Master on/off switch,1 syringe,1HVE,1SE,Self contained water bottle system,Wet/Dry foot control,5 drawers,Junction box and valves,8'umbilical,5 Hole Plug
Request a quote
OC-2 Enlarged Orthodontic Mobile CartSolid surface table,With 3 auto H.P.control,Master on/off switch,1 syringe,1HVE,1SE,Self contained water bottle system.",,,Orthodontic Chair,,https://www.adsdental.com//products/oc-2-orthodontic-mobile-cart/,https://www.adsdental.com//eos-extraoral-suction-system-operation-principle.pdf,"https://www.adsdental.com/https://www.adsdental.com/uploads/image/20200630/15/oc-2-orthodontic-mobile-cart.jpg,https://www.adsdental.com//uploads/image/20200508/09/oc-2-orthodontic-mobile-cart-1.jpg"
ADS Dental,A0504553A121532HP Fiber optic system with 1 tubing (6 pin),ADS Dental,"A0504553,A121532,HP Fiber optic system with 1 tubing (6 pin)",OC-3 Orthodontic Mobile Cart,"
OC-3 Smaller Orthodontic Mobile CartSolid surface table,With 3 auto H.P.control,Master on/off switch,1 syringe,1HVE,1SE,Self contained water bottle system,Wet/Dry foot control,5 drawers,Junction box and valves,8'umbilical,5 Hole Plug
Request a quote
OC-3 Smaller Orthodontic Mobile CartSolid surface table,With 3 auto H.P.control,Master on/off switch,1 syringe,1HVE,1SE,Self contained water bottle system.",,,Orthodontic Chair,,https://www.adsdental.com//products/oc-3-orthodontic-mobile-cart/,https://www.adsdental.com//eos-extraoral-suction-system-operation-principle.pdf,"https://www.adsdental.com/https://www.adsdental.com/uploads/image/20200630/15/oc-3-orthodontic-mobile-cart.jpg,https://www.adsdental.com//uploads/image/20200508/09/oc-3-orthodontic-mobile-cart-1.jpg"
ADS Dental,A091201,ADS Dental,A091201,AJ12 Fixed Base Ortho Chair with Light,"
AJ12 Electromechanical chair with 3 programmable positions,Articulating hea drest,Swing out armrest,Steel backrest stand,Steel base plate,Chair safety switch,Wide backrest,Upgraded fiber leather,One touchpad attached on armrest,Foot control,Ortho post mount (40"") Whale LED Light
Request a quote
AJ12 Electromechanical chair with 3 programmable positions,Articulating hea drest,Swing out armrest,Steel backrest stand,Steel base plate,Chair safety switch,",,,Orthodontic Chair,,https://www.adsdental.com//products/aj12-fixed-base-ortho-chair-with-light/,https://www.adsdental.com//eos-extraoral-suction-system-operation-principle.pdf,"https://www.adsdental.com/https://www.adsdental.com/uploads/image/20221124/14/aj12-fixed-base-ortho-chair-with-light.jpg,https://www.adsdental.com//uploads/image/20200508/09/aj12-ortho-dental-chair-with-light-1.jpg"
ADS Dental,A091602,ADS Dental,A091602,AJ16 Ortho Dental Chair With Light,"
AJ16 Luxury hydraulic chair, with 3 programmable positions,Articulating headrest,Swing up/down aluminium armrest,Wide backrest, upgraded fiber leather,Cast iron chair frame,Cast aluminium backrest stand,Cast aluminium base,60 degrees seat rotation, chair safety switch,One touchpad attached on armrest, Foot control
Request a quote
AJ16 Luxury hydraulic chair, with 3 programmable positions,Articulating headrest,Swing up/down aluminium armrest,Wide backrest, upgraded fiber leather,Cast iron chair frame.",,,Orthodontic Chair,,https://www.adsdental.com//products/aj16-ortho-dental-chair-with-light/,https://www.adsdental.com//eos-extraoral-suction-system-operation-principle.pdf,"https://www.adsdental.com/https://www.adsdental.com/uploads/image/20200605/12/7-orthodontic-chair--ortho-cartaj16-ortho-dental-chair-with-light-03.jpg,https://www.adsdental.com//uploads/image/20200508/09/aj16-ortho-dental-chair-with-light-1.jpg"
ADS Dental,A091201,ADS Dental,A091201,AJ12 Ortho Dental Chair With Light,"
AJ12 Electromechanical chair with 3 programmable positions,Articulating hea drest,Swing out armrest,Steel backrest stand,Steel base plate,Chair safety switch,Wide backrest,Upgraded fiber leather,One touchpad attached on armrest,Foot control,Ortho post mount (40"") Whale LED Light
Request a quote
AJ12 Electromechanical chair with 3 programmable positions,Articulating hea drest,Swing out armrest,Steel backrest stand,Steel base plate,Chair safety switch.",,,Orthodontic Chair,,https://www.adsdental.com//products/aj12-ortho-dental-chair-with-light/,https://www.adsdental.com//eos-extraoral-suction-system-operation-principle.pdf,"https://www.adsdental.com/https://www.adsdental.com/uploads/image/20200605/12/7-orthodontic-chair--ortho-cartaj12-ortho-dental-chair-with-light.jpg,https://www.adsdental.com//uploads/image/20200508/09/aj12-ortho-dental-chair-with-light-1.jpg"
