Seller Platform,Seller SKU,Manufacture Name,Manufacture Code,Product Title,Description,Packaging,Qty,Category,Subcategory,Product Page URL,Attachment,Image URL
DenMat,S40851,DenMat,S40851,Pro-Select Platinum® Irrigation Handpiece,"(1) Irrigation Handpiece
DenMat's Pro-Select Platinum® Ultrasonic Scaler takes scaling and root planing (SRP) therapy to an all new level. It is the only system that combines the superb piezo ultrasonic scaling solution with heated subgingival irrigation.",,,,,https://www.denmat.com/pro-select-platinum-irrigation-handpiece.html,,"https://www.denmat.com/media/catalog/product/p/r/pro-select-platinum-irrigation-handpiece-s40851-web.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=700&width=700"
DenMat,ZLR3010,DenMat,ZLR3010,NV® PRO3 Rechargeable Lithium Ion Battery,"(1) Rechargeable Lithium Ion Battery for NV&REG; PRO3 Microlaser

Each fully rechargeable battery provides up to 30 minutes of continuous operation at 1.2 watts of power — enough for an average of 15 procedures in the continuous wave mode. Standby time is over 8 hours!

About the NV PRO3 Microlaser
The NV PRO3 Microlaser has set new quality levels for convenience, portability and ease of use among all dental soft-tissue diode lasers. The next-generation NV PRO3 Microlaser continues that award-winning tradition. Optimized for all of your periodontal, restorative and orthodontic procedural needs, the latest evolution in cordless soft-tissue lasers enables you to deliver the benefits of laser dentistry to each patient, while increasing practice production across all departments. View the industry leading dental laser

NV offers:

True portability weighing in at only 1.9 ounces
Wireless foot pedal controls for the ultimate convenience between operatories
A base charger that stores the laser unit and charges up to three batteries at the same time
(12) preset procedures for all your periodontic, restorative, and orthodontic needs
Lithium-ion batteries with overcharge and surge protection
Disposable surgical and perio tips",,,,,https://www.denmat.com/nvr-pro3-rechargeable-lithium-ion-battery.html,,"https://www.denmat.com/media/catalog/product/n/v/nvpro3-battery-zlr3010-web_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=700&width=700"
DenMat,ZLR3003,DenMat,ZLR3003,NV® PRO3 Microlaser,"The NV® PRO3 Microlaser has set new quality levels for convenience, portability and ease-of-use among soft-tissue diode dental lasers. Optimized for all of your periodontal, restorative, orthodontic and surgical procedures, the latest evolution in cordless dental diode lasers enable you to deliver the benefits of laser dentistry to each patient, while increasing practice production across all departments.

Diode dental laser offers:

True portability weighing in at only 1.9 ounces
Wireless foot pedal controls for the ultimate convenience between operatories
Base charger that stores the laser unit and charges up to three batteries at the same time
(12) preset procedures for all your periodontic, restorative, and orthodontic needs
Lithium-ion batteries with overcharge and surge protection
Single-use surgical and perio tips

Includes:

NV PRO3 Microlaser unit
(2) Lithium-ion batteries
Wireless foot pedal
(2) AA batteries for the foot pedal
Base charger
Power supply
(5) Disposable laser tips - 400um-5 mm
(5) Disposable laser tips - 400um-7 mm
(3) Pairs of Soft-Tissue Laser Safety glasses",,,,,https://www.denmat.com/nv-pro3-microlaser.html,,"https://www.denmat.com/media/catalog/product/n/v/nv-pro3-hand-welcome_400crop.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=700&width=700"
DenMat,2620MT6,DenMat,2620MT6,Perio Restore® Gel 3oz 6-Pack,"Perio Restore® Oral Cleansing Gel is a 1.7% hydrogen peroxide gel formulated to help patients keep periodontal disease at bay in-between each dental visit when used in conjunction with personalized perio treatment trays; such as the Perio Restore customized tray system.

Perio Restore Oral Cleansing Gel offers:

1.7% hydrogen peroxide (active ingredient) formulation
Flexibility for use with a variety of personalized perio treatment trays
Significant reduction of bacteria with each 10-15 minute application with tray, while providing fresh breath and shade maintenance during treatment
Low viscosity consistency for easy flow into the sulcus
Up to 45 full mouth treatments per 3 oz. tube (on average)
Pleasant mint flavor for better patient compliance
Perio Restore Oral Cleansing Gel is recommended for patients that: 
Have an inconsistent homecare routine
Have any stage of gum disease
Have extensive restorations such as crowns, bridges, or bonding
Are at high-risk during medically advanced treatments

Includes:

(1) Case of (6) 3 oz. tubes of Perio Restore Oral Cleansing Gel",Pack,6,,,https://www.denmat.com/perio-restore-gel-3oz-6pk.html,,"https://www.denmat.com/media/catalog/product/p/e/perio-restore-alt-1400x1400.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=700&width=700"
DenMat,3900B,DenMat,3900B,Zirconia Prime,"Zirconia Prime is designed to treat the surface of Zirconia, Alumina, and Metal restorations allowing clinicians to provide their patients with lasting restorations. Zirconia Prime enhances the bond between indirect restorative materials, composite resin cements and resin-based bonding agents when preparing the restorations for cementation. Zirconia Prime can also be used to treat the surface when fixing defects of restorations attached to a patient’s dentition.
Zirconia Prime offers:

Formulated with MDP for optimal bond strength and longevity
Compatible with self-, light-, and dual-cure resin luting cements
Single bottle delivery
No refrigeration required



Includes:

5mL bottle of Zirconia Prime
Instructions",,,,,https://www.denmat.com/zirconia-prime.html,,"https://www.denmat.com/media/catalog/product/z/i/zirconia-prime-3900b-alt-web.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=700&width=700"
DenMat,6000W,DenMat,6000W,Isolation/Suction Adapter Device DS,"Suction adapter device compatible with the DryShield® Isolation System*.  A portable, durable and affordable adapter kit connects the DryShield mouthpieces directly to any standard HVE valve in the dental office.
Includes:

(1) Mouthpiece Adapter
(1) Hi-Vac Connector
(1) Tubing-4 Feet

*DryShield® and the DryShield® logo are registered trademarks of DryShield LLC.",,,,,https://www.denmat.com/compatible-isolation-suction-adapter-device-ds.html,,"https://www.denmat.com/media/catalog/product/d/r/dry-shield.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=700&width=700"
DenMat,WHT5022,DenMat,WHT5022,LumiSmile® White 22% Take-Home Bulk Pack – Non Personalized,"The LumiSmile® White Take-Home Whitening System offers premium professional-strength whitening for every smile. It's formulated with carbamide peroxide, flavored with peppermint oil, and delivers maximum results in just 1-2 weeks with minimal sensitivity. With an 18-month shelf life requiring no refrigeration, and a price most patients can afford, LumiSmile White is a smart addition to your offerings.

LumiSmile White Take-Home Whitening offers:

16%, 22% and 32% carbamide peroxide concentrations
maximum results with minimal sensitivity
formulations with or without fluoride
additional income for your office

Includes:

(50) 2.5mL Syringes of 22% Non-Personalized Foil Packages",,,,,https://www.denmat.com/lumismile-white-22-take-home-bulk-pack-non-personalized.html,,"https://www.denmat.com/media/catalog/product/l/u/lumismile-white-22-take-home-bulk-pack-wht5022-web.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=700&width=700"
DenMat,051102089,DenMat,051102089,Diamond Burr High Speed 5-Pack,"Burr shape: Diamond
Burr speed: High speed
Burr grit: Medium grit
Burrs included: (5)

High speed, medium grit diamond burr used for shaping of Lumineers® and other dental contouring. Works with almost any high speed drill.",Pack,5,,,https://www.denmat.com/diamond-burr-high-speed-medium-grit-5-pack.html,,https://www.denmat.com/static/version1669799793/frontend/Denmat/lumi/en_US/Magento_Catalog/images/product/placeholder/image.jpg
DenMat,051102087,DenMat,051102087,Football Burr High Speed Medium Grit 5-Pack,"Burr shape: Football
Burr speed: High speed
Burr grit: Medium grit
Burrs included: (5)

High speed, medium grit football burr used for shaping of Lumineers®, Snap-On Smile® and other dental contouring. Works with almost any high speed drill.",Pack,5,,,https://www.denmat.com/football-burr-high-speed-medium-grit-5-pack.html,,"https://www.denmat.com/media/catalog/product/b/u/burr-football-high-speed-medium-grit-051102087-web.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=700&width=700"
DenMat,051102086,DenMat,051102086,Diamond Burr High Speed Fine Grit 5-Pack,"Burr shape: Diamond
Burr speed: High speed
Burr grit: Fine grit
Burrs included: (5)

High speed, fine grit diamond burr used for shaping of Lumineers®, Snap-On Smile® and other dental contouring. Works with almost any high speed drill.",Pack,5,,,https://www.denmat.com/diamond-burr-high-speed-fine-grit-5-pack.html,,"https://www.denmat.com/media/catalog/product/b/u/burr-diamond-high-speed-fine-grit-051102086-web.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=700&width=700"
DenMat,051102088,DenMat,051102088,Diamond Burr High Speed Course Grit 5-Pack,"Burr shape: Diamond
Burr speed: High speed
Burr grit: Coarse grit
Burrs included: (5)

High speed, coarse grit diamond burr used for shaping of Lumineers® and other dental contouring. Works with almost any high speed drill.",Pack,5,,,https://www.denmat.com/diamond-burr-high-speed-coarse-grit-5-pack.html,,https://www.denmat.com/static/version1669799793/frontend/Denmat/lumi/en_US/Magento_Catalog/images/product/placeholder/image.jpg
DenMat,2140PEDD,DenMat,2140PEDD,Kids Kare™ 0.4% Stannous Fluoride Brush-On Gel,"Preventative treatment for the most important

(1) Case of (12) 4.3oz. Tubes of Kids Kare Brush-On Gel
Net Weight: 4.3 oz. (121.9g)",,,,,https://www.denmat.com/kids-kare-0-4-stannous-fluoride-brush-on-gel.html,,"https://www.denmat.com/media/catalog/product/k/i/kids-kare-04-stannous-fluoride-brush-on-gel-2240pedd_1_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=700&width=700"
DenMat,051102085,DenMat,051102085,Flame Burr High Speed 5-Pack,"Burr shape: Flame
Burr speed: High speed
Burrs included: (5)

High speed, flame burr used for shaping of Lumineers®, Snap-On Smile® and other dental contouring. Works with almost any high speed drill.",Pack,5,,,https://www.denmat.com/flame-burr-high-speed-5-pack.html,,"https://www.denmat.com/media/catalog/product/b/u/burr-flame-high-speed-051102085-web_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=700&width=700"
DenMat,051102084,DenMat,051102084,Football Burr High Speed Course Grit 5-Pack,"Burr shape: Football
Burr speed: High speed
Burr grit: Coarse grit
Burrs included: (5)

High speed, football burr used for shaping of Lumineers®, Snap-On Smile® and other dental contouring. Works with almost any high speed drill.",Pack,5,,,https://www.denmat.com/football-burr-high-speed-coarse-grit-5-pack.html,,"https://www.denmat.com/media/catalog/product/b/u/burr-football-high-speed-coarse-grit-051102084-web.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=700&width=700"
DenMat,051102083,DenMat,051102083,Pear Burr High Speed .010 Diameter 5-Pack,"Burr shape: Pear
Burr speed: High speed
Burr diameter: .010
Burrs included: (5)

High speed, pear burr used for shaping of Lumineers®, Snap-On Smile® and other dental contouring. Works with almost any high speed drill.",Pack,5,,,https://www.denmat.com/pear-burr-high-speed-010-diameter-5-pack.html,,"https://www.denmat.com/media/catalog/product/b/u/burr-pear-high-speed-010-diameter-051102083-web_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=700&width=700"
DenMat,051102082,DenMat,051102082,Pear Burr High Speed .008 Diameter 5-Pack,"Burr shape: Pear
Burr speed: High speed
Burr diameter: .008
Burrs included: (5)

High speed, pear burr used for shaping of Lumineers®, Snap-On Smile® and other dental contouring. Works with almost any high speed drill.",Pack,5,,,https://www.denmat.com/pear-burr-high-speed-008-diameter-5-pack.html,,"https://www.denmat.com/media/catalog/product/b/u/burr-pear-high-speed-008-diameter-051102082-web.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=700&width=700"
DenMat,LED4-2-C,DenMat,LED4-2-C,Microline™ Mini Replacement Cable,"(1) Mini Replacement Cable

About the Microline™ Mini Headlight System
At only 9 grams, the MicroLine Mini LED Headlight is one of the lightest headlights in the industry.

MicroLine offers:

the bright mini LED headlight at 40,000 Lux
8+ hour rechargeable, replaceable Li-ion battery
attachment to all PeriOptix and most competitor loupes or headbands
a 90% charge in only 90 minutes
user-replaceable cable",,,,,https://www.denmat.com/microline-8482-mini-replacement-cable.html,,"https://www.denmat.com/media/catalog/product/m/i/microline-mini-replacement-cable-led4-2-c-web.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=700&width=700"
DenMat,051102081,DenMat,051102081,Football Occlusal Burr High Speed 5Pk,"Burr shape: Football
Burr speed: High speed
Burr grit: Coarse grit
Burrs included: (5)

High speed, football occlusal burr used for shaping of Lumineers®, Snap-On Smile® and other dental contouring. Works with almost any high speed drill.",,,,,https://www.denmat.com/football-occlusal-burr-high-speed-5pk.html,,"https://www.denmat.com/media/catalog/product/b/u/burr-football-occlusal-high-speed-051102081-web.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=700&width=700"
DenMat,LED4-BP,DenMat,LED4-BP,Microline™ Mini Battery Pack,"(1) Mini Battery Pack

About the Microline™ Mini Headlight System
At only 9 grams, the MicroLine Mini LED Headlight is one of the lightest headlights in the industry.

MicroLine offers:

the bright mini LED headlight at 40,000 Lux
8+ hour rechargeable, replaceable Li-ion battery
attachment to all PeriOptix and most competitor loupes or headbands
a 90% charge in only 90 minutes
user-replaceable cable",,,,,https://www.denmat.com/microline-8482-mini-battery-pack.html,,"https://www.denmat.com/media/catalog/product/m/i/microline-mini-battery-pack-led4-bp-web.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=700&width=700"
DenMat,031982710,DenMat,031982710,Ultra-Bond® Plus Try-In Paste Neutral,"Ultra-Bond® Plus Try-In Paste is a non-setting resin based paste which allows you to preview shades before cementation of porcelain veneers. The Try-In Paste simulation allows you to see what the veneers will look like once bonded in place with Ultra-Bond Plus or Block-Out®.

Ultra-Bond Plus Try-In Paste offers

preview of true reading on permanent cement shade
non-setting composite which may be applied and removed as many times as needed to determine shade
matching film thickness of Ultra-Bond Plus and Block-Out cement to accurately check fit
matching shades for Ultra-Bond Plus and Block-Out cement

Includes:

(4) 1g Syringes of Ultra-Bond Plus Try-In Paste Neutral
(1) 3g Jar Tenure S Dab-Eze
(12) 18-Gauge Syringe Tips, Pink",,,,,https://www.denmat.com/ultra-bond-plus-try-in-paste-neutral.html,,"https://www.denmat.com/media/catalog/product/u/l/ultra-bond-try-in-paste-neutral-kit-031982710-web.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=700&width=700"
DenMat,2130PEDD,DenMat,2130PEDD,Kids Kare™ 0.24% Neutral Sodium Fluoride Toothpaste,"Preventative treatment for the most important

(1) Case of (12) 4.3oz. Tubes of Kids Kare Toothpaste
Net Weight: 4.3 oz. (121.9g)",,,,,https://www.denmat.com/kids-kare-0-24-neutral-sodium-fluoride-toothpaste.html,,"https://www.denmat.com/media/catalog/product/k/i/kids-kare-024-neutral-sodium-fluoride-toothpaste-2230pedd_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=700&width=700"
DenMat,LED2-BC1F,DenMat,LED2-BC1F,PeriOptix® Headlight Battery Charger Wall Plug,"Wall Plug for the PeriOptix® Lightweight Fitted Loupes promote proper posture, reduce fatigue, enhance vision, and add to career longevity.  With over 60% of dental practitioners suffering from back and neck pain and more than 90% suffering from eye strain, PeriOptix is the quality choice for physical and financial relief.

PeriOptix Loupes offers:

flip-up and through-the-lens options
customized fitting down to the millimeter
calculations for your comfortable, upright working distance for optimal clinician ergonomics

Includes:

1 Headlight Battery Charger Wall Plug",,,,,https://www.denmat.com/perioptixr-headlight-battery-charger-wall-plug.html,,https://www.denmat.com/static/version1669799793/frontend/Denmat/lumi/en_US/Magento_Catalog/images/product/placeholder/image.jpg
DenMat,LED5-BC,DenMat,LED5-BC,Firefly® Headlight Charger,"(1) Headlight Charger

The Firefly® Cordless Headlight System lets you easily upgrade your favorite pair of loupes to incorporate a Firefly cordless headlight, and enjoy the freedom to move through any procedure with confidence and without interruptions.

Firefly Cordless Headlight System offers:

unique cord-free design that eliminates the need for heavy power packs and cumbersome cords
cleaning ease for a reduced risk of cross contamination
optimized spot size that eliminates the uncomfortable halo in your patients' eyes while providing uniform and natural color output",,,,,https://www.denmat.com/fireflyr-headlight-charger.html,,"https://www.denmat.com/media/catalog/product/f/i/firefly-headlight-charger-only-led5-bc-web.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=700&width=700"
DenMat,LED5-F-A1,DenMat,LED5-F-A1,Firefly® Curing Filter,"(1) Curing Filter

About the Firefly® Cordless Headlight System
The Firefly® Cordless Headlight System lets you easily upgrade your favorite pair of loupes to incorporate a Firefly cordless headlight, and enjoy the freedom to move through any procedure with confidence and without interruptions.

Firefly Cordless Headlight System offers:

Available in BLACK, RED & BLUE
unique cord-free design that eliminates the need for heavy power packs and cumbersome cords
cleaning ease for a reduced risk of cross contamination
optimized spot size that eliminates the uncomfortable halo in your patients' eyes while providing uniform and natural color output",,,,,https://www.denmat.com/firefly-curing-filter.html,,"https://www.denmat.com/media/catalog/product/f/i/firefly-curing-filter-led5-f-a1-web.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=700&width=700"
DenMat,LED5-MA1,DenMat,LED5-MA1,Firefly® Magnetic Mount,"(1) Magnetic Mount

The Firefly® Cordless Headlight System lets you easily upgrade your favorite pair of loupes to incorporate a Firefly cordless headlight, and enjoy the freedom to move through any procedure with confidence and without interruptions.

Firefly Cordless Headlight System offers:

unique cord-free design that eliminates the need for heavy power packs and cumbersome cords
cleaning ease for a reduced risk of cross contamination
optimized spot size that eliminates the uncomfortable halo in your patients' eyes while providing uniform and natural color output",,,,,https://www.denmat.com/firefly-magnetic-mount.html,,"https://www.denmat.com/media/catalog/product/f/i/firefly-magnetic-mount-led5-ma1-web.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=700&width=700"
DenMat,LED5-B-AR1,DenMat,LED5-B-AR1,Firefly® Replacement Barrel- Red,"(1) Red Replacement Barrel

The Firefly® Cordless Headlight System lets you easily upgrade your favorite pair of loupes to incorporate a Firefly cordless headlight, and enjoy the freedom to move through any procedure with confidence and without interruptions.

Firefly Cordless Headlight System offers:

unique cord-free design that eliminates the need for heavy power packs and cumbersome cords
cleaning ease for a reduced risk of cross contamination
optimized spot size that eliminates the uncomfortable halo in your patients' eyes while providing uniform and natural color output",,,,,https://www.denmat.com/firefly-replacement-barrel-red.html,,"https://www.denmat.com/media/catalog/product/f/i/firefly-replacement-barrel-red-led5-b-ar1-web.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=700&width=700"
DenMat,2128PR2,DenMat,2128PR2,Hydrogen Peroxide Oral Rinse 2-Pack (128 oz),"Made in California, USA. DenMat’s Hydrogen Peroxide Oral Rinse is formulated with 1.5% hydrogen peroxide and xylitol® to significantly reduce bacteria in the mouth. The foaming action created by the release of oxygen inhibits bacteria growth and aids in the removal of oral debris and healing of minor mouth irritations. 

Hydrogen Peroxide Oral Rinse Offers:

significant reduction in bacteria and facilitates healing
foaming action that cleanses between teeth and hard to reach areas
mint flavor that freshens breath
alcohol-free formula

Includes:

(2) 128.0oz bottles per case",Pack,2,,,https://www.denmat.com/peroxide-rinse-128oz-2pc.html,,"https://www.denmat.com/media/catalog/product/h/y/hydrogen-peroxide-rinse-128oz-alt-2128pr2-web.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=700&width=700"
DenMat,2064PR2,DenMat,2064PR2,Hydrogen Peroxide Oral Rinse 2-Pack (64oz),"Made in California, USA. DenMat’s Hydrogen Peroxide Oral Rinse is formulated with 1.5% hydrogen peroxide and xylitol® to significantly reduce bacteria in the mouth. The foaming action created by the release of oxygen inhibits bacteria growth and aids in the removal of oral debris and healing of minor mouth irritations. 

Hydrogen Peroxide Oral Rinse Offers:

significant reduction in bacteria and facilitates healing
foaming action that cleanses between teeth and hard to reach areas
mint flavor that freshens breath
alcohol-free formula

Includes:

(2) 64.0oz bottles per case",Pack,2,,,https://www.denmat.com/peroxide-rinse-64oz-2pc.html,,"https://www.denmat.com/media/catalog/product/h/y/hydrogen-peroxide-rinse-64oz-alt-2064pr2-web.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=700&width=700"
DenMat,2130,DenMat,2130,Porcelain Polishing Paste,"Porcelain Laminate Polishing Paste is a non-aqueous, fine particle, pleasant-tasting paste that has a smooth-flowing consistency, providing the finest luster on composite, as well as porcelain restorations. Porcelain Polishing Paste produces superior polishing results and reduces material waste.
Includes:
(1) 5g Syringe of Porcelain Laminate Polishing Paste
Also available: Porcelain Laminate Polishing Paste Kit",,,,,https://www.denmat.com/porcelain-polishing-paste.html,,"https://www.denmat.com/media/catalog/product/p/o/porcelain-polishing-paste-2130-web.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=700&width=700"
